POLLUTANT_CODES,n,pct
10373 200000481 300000243 300000322 300000329,3,0
10373 300000243 300000329,3,0
10373 300000289,3,0
10461 300000005 300000183,3,0
10461 300000010 300000330,3,0
10461 300000038 300000322,3,0
10461 300000076,3,0
10461 300000236 300000319,3,0
10461 300000236 300000330,3,0
10461 300000242 300000322,3,0
10461 300000323,3,0
10494 300000329,3,0
200000481 300000328,3,0
200000842,3,0
2092 10193,3,0
300000003 300000242,3,0
300000004 300000329,3,0
300000005 300000183,3,0
300000005 300000236 300000319,3,0
300000005 300000312,3,0
300000005 300000329 300000330,3,0
300000006 300000319,3,0
300000010 300000322,3,0
300000011 300000329,3,0
300000016 300000322,3,0
300000018 300000242,3,0
300000018 300000322 300000329,3,0
300000038 300000318,3,0
300000038 300000319 300000322,3,0
300000038 300000322,3,0
300000038 300000330,3,0
300000048 300000097 300000153,3,0
300000048 300000290 300000328,3,0
300000068,3,0
300000097 300000242 300000243 300000329,3,0
300000097 300000243,3,0
300000107,3,0
300000108,3,0
300000119 300000242 300000329,3,0
300000168 300000329,3,0
300000180 300000329,3,0
300000183 300000242 300000243,3,0
300000183 300000243 300000329,3,0
300000183 300000322,3,0
300000183 300000330,3,0
300000188 300000243,3,0
300000209,3,0
300000227,3,0
300000236 300000320,3,0
300000236 300000329 300000680,3,0
300000243 300000282 300000322,3,0
300000243 300000312,3,0
300000282 300000329 300000680,3,0
300000298 300000329,3,0
300000301 300000330,3,0
300000302 300000322 300000330,3,0
300000304,3,0
300000305 300000329,3,0
300000307 300000329,3,0
300000311,3,0
300000312 300000330,3,0
300000319 300000320 300000322 300000329,3,0
300000319 300000322 300000323,3,0
300000319 300000323,3,0
300000322 300000323 300000328,3,0
300000328 300000330,3,0
5409 7003 300000236 300000329,3,0
7003 10193 10358,3,0
7003 10193 10358 10373 10461 300000320,3,0
7003 10193 10461 300000243 300000282,3,0
7003 10193 300000243,3,0
7003 10193 300000243 300000282,3,0
7003 10193 300000329,3,0
7003 10373 200000481 300000242,3,0
7003 10373 200000481 300000242 300000243,3,0
7003 10461 300000036,3,0
7003 10461 300000242,3,0
7003 10461 300000282,3,0
7003 300000243 300000328,3,0
7003 300000319 300000329,3,0
7003 300000322,3,0
10193 10358 10373 10461 200000481 300000242 300000243,2,0
10193 10358 10373 300000236 300000328,2,0
10193 10358 10373 300000243 300000322 300000328,2,0
10193 10358 300000016,2,0
10193 10358 300000016 300000107 300000207 300000243,2,0
10193 10373 10461 300000005 300000243,2,0
10193 10373 10461 300000282,2,0
10193 10373 300000243 300000282,2,0
10193 10461 300000003,2,0
10193 10461 300000005 300000017 300000018 300000228 300000242 300000243 300000307 300000319 300000322 300000329,2,0
10193 10461 300000005 300000018 300000025 300000036 300000038 300000243 300000298 300000322,2,0
10193 10461 300000005 300000236 300000242 300000322,2,0
10193 10461 300000005 300000236 300000322,2,0
10193 10461 300000005 300000243 300000319 300000322,2,0
10193 10461 300000005 300000243 300000319 300000329,2,0
10193 10461 300000010 300000016 300000060 300000176,2,0
10193 10461 300000010 300000183 300000242 300000243 300000282 300000319,2,0
10193 10461 300000037 300000242 300000243 300000282 300000319 300000322,2,0
10193 10461 300000183 300000207 300000242 300000243 300000282 300000319,2,0
10193 10461 300000207 300000213 300000242 300000243 300000282,2,0
10193 10461 300000207 300000242 300000243 300000282 300000319,2,0
10193 10461 300000213 300000242 300000243 300000282 300000320,2,0
10193 10461 300000213 300000243 300000282 300000319,2,0
10193 10461 300000236 300000282 300000329,2,0
10193 10461 300000242 300000243 300000282 300000319 300000322,2,0
10193 10461 300000242 300000282,2,0
10193 10461 300000243 300000282 300000319 300000322,2,0
10193 10461 300000243 300000322,2,0
10193 10461 300000282 300000322,2,0
10193 200000842,2,0
10193 300000003 300000329,2,0
10193 300000005 300000016,2,0
10193 300000005 300000038,2,0
10193 300000005 300000207 300000242 300000243,2,0
10193 300000005 300000243 300000319 300000320,2,0
10193 300000005 300000243 300000330,2,0
10193 300000005 300000289,2,0
10193 300000005 300000305 300000328,2,0
10193 300000005 300000328,2,0
10193 300000010 300000322,2,0
10193 300000016,2,0
10193 300000016 300000236 300000282,2,0
10193 300000018 300000036 300000242 300000243 300000322,2,0
10193 300000018 300000322,2,0
10193 300000018 300000329,2,0
10193 300000038 300000322,2,0
10193 300000180,2,0
10193 300000207 300000329,2,0
10193 300000234 300000282,2,0
10193 300000236 300000319,2,0
10193 300000243 300000282 300000319 300000320 300000322 300000328,2,0
10193 300000243 300000305,2,0
10193 300000243 300000328 300000329,2,0
10193 300000282 300000673,2,0
10193 300000298,2,0
10193 300000302 300000319,2,0
10193 300000305,2,0
10193 300000305 300000322,2,0
10193 300000314 300000322,2,0
10193 300000322 300000328,2,0
10193 300000328 300000329,2,0
10358 10461 300000076,2,0
10358 10461 300000328,2,0
10358 300000005 300000329,2,0
10358 300000010 300000328,2,0
10358 300000016,2,0
10358 300000282,2,0
10358 300000322,2,0
10358 300000415,2,0
10373 200000481 300000242 300000243,2,0
10373 300000322 300000329,2,0
10373 300000378,2,0
10461 200000481,2,0
10461 300000005 300000242 300000322,2,0
10461 300000005 300000243 300000319,2,0
10461 300000005 300000322 300000329,2,0
10461 300000006 300000319,2,0
10461 300000010 300000236,2,0
10461 300000017 300000018,2,0
10461 300000017 300000018 300000322,2,0
10461 300000018 300000243,2,0
10461 300000183,2,0
10461 300000183 300000242,2,0
10461 300000183 300000243,2,0
10461 300000236 300000282,2,0
10461 300000236 300000329,2,0
10461 300000243 300000305,2,0
10461 300000282 300000322 300000329,2,0
10461 300000282 300000328,2,0
10461 300000305 300000322,2,0
10461 300000322 300000323,2,0
10494 300000097,2,0
200000601,2,0
300000002 300000210,2,0
300000002 300000329,2,0
300000003 300000005 300000236,2,0
300000003 300000243,2,0
300000003 300000330,2,0
300000004 300000319,2,0
300000004 300000321 300000327,2,0
300000005 300000006 300000329,2,0
300000005 300000016,2,0
300000005 300000018 300000243,2,0
300000005 300000174,2,0
300000005 300000236 300000329,2,0
300000005 300000242 300000322,2,0
300000005 300000243 300000328,2,0
300000005 300000243 300000330,2,0
300000005 300000305,2,0
300000005 300000319 300000328,2,0
300000005 300000322 300000323,2,0
300000006 300000242 300000243,2,0
300000006 300000243 300000329,2,0
300000006 300000319 300000322,2,0
300000006 300000330,2,0
300000009 300000179 300000328,2,0
300000010 300000282,2,0
300000010 300000330,2,0
300000011 300000322,2,0
300000014,2,0
300000015 300000319,2,0
300000015 300000329,2,0
300000016 300000025 300000038 300000328,2,0
300000016 300000028 300000215,2,0
300000016 300000173 300000243,2,0
300000016 300000236 300000282,2,0
300000018 300000036 300000305,2,0
300000018 300000208 300000298,2,0
300000018 300000298 300000322,2,0
300000025 300000038,2,0
300000025 300000208,2,0
300000031,2,0
300000036 300000307,2,0
300000036 300000319,2,0
300000036 300000329,2,0
300000038 300000236,2,0
300000038 300000243,2,0
300000038 300000328,2,0
300000039,2,0
300000048 300000097 300000242 300000243,2,0
300000048 300000120 300000242,2,0
300000048 300000242 300000243,2,0
300000048 300000243,2,0
300000048 300000243 300000329,2,0
300000069,2,0
300000072,2,0
300000074 300000242 300000243 300000319 300000322 300000329,2,0
300000074 300000243,2,0
300000090,2,0
300000094 300000329,2,0
300000095 300000188 300000207 300000243,2,0
300000097 300000119 300000153 300000242 300000243 300000319,2,0
300000097 300000242,2,0
300000101 300000242 300000243,2,0
300000102,2,0
300000102 300000242,2,0
300000119 300000243 300000319,2,0
300000119 300000243 300000328,2,0
300000119 300000243 300000329,2,0
300000120,2,0
300000124,2,0
300000138,2,0
300000147,2,0
300000151 300000242,2,0
300000151 300000243,2,0
300000151 300000329,2,0
300000153 300000243 300000329,2,0
300000168 300000242,2,0
300000168 300000242 300000243,2,0
300000168 300000243,2,0
300000169,2,0
300000171 300000242,2,0
300000171 300000243,2,0
300000172,2,0
300000173 300000243 300000329,2,0
300000174 300000329,2,0
300000176,2,0
300000182,2,0
300000183 300000243 300000322,2,0
300000183 300000322 300000329,2,0
300000184,2,0
300000207 300000242 300000243,2,0
300000207 300000242 300000243 300000329,2,0
300000207 300000242 300000329,2,0
300000207 300000243 300000322,2,0
300000207 300000322,2,0
300000207 300000322 300000330,2,0
300000208 300000375,2,0
300000210 300000228,2,0
300000210 300000240,2,0
300000210 300000242,2,0
300000210 300000242 300000329,2,0
300000210 300000323,2,0
300000210 300000328,2,0
300000210 300000330,2,0
300000213,2,0
300000218 300000307,2,0
300000220 300000236 300000322,2,0
300000226 300000322,2,0
300000228 300000242 300000322,2,0
300000230 300000322,2,0
300000231 300000243,2,0
300000231 300000329,2,0
300000234 300000330,2,0
300000236 300000242 300000243 300000322,2,0
300000236 300000242 300000243 300000322 300000328,2,0
300000236 300000242 300000319 300000322,2,0
300000236 300000242 300000329,2,0
300000236 300000243 300000301,2,0
300000236 300000243 300000328 300000329,2,0
300000236 300000301 300000302,2,0
300000236 300000301 300000319,2,0
300000236 300000312,2,0
300000236 300000415,2,0
300000240 300000242,2,0
300000240 300000242 300000243,2,0
300000242 300000243 300000290,2,0
300000242 300000243 300000319 300000320,2,0
300000242 300000282,2,0
300000242 300000319 300000329,2,0
300000242 300000322 300000330,2,0
300000243 300000282 300000289,2,0
300000243 300000282 300000329,2,0
300000243 300000301,2,0
300000243 300000305 300000323,2,0
300000243 300000305 300000330,2,0
300000243 300000319 300000322 300000328,2,0
300000247,2,0
300000254,2,0
300000282 300000319 300000320,2,0
300000282 300000320,2,0
300000282 300000322 300000329,2,0
300000282 300000328 300000329,2,0
300000289 300000319,2,0
300000290 300000329,2,0
300000294,2,0
300000298 300000305,2,0
300000298 300000307,2,0
300000301 300000302,2,0
300000301 300000319,2,0
300000301 300000322 300000328,2,0
300000302 300000319 300000320 300000322 300000328 300000329,2,0
300000312 300000322,2,0
300000315,2,0
300000319 300000320 300000322 300000328,2,0
300000319 300000322 300000328 300000329,2,0
