program_bundle,n_sources,pct
CAAGACTM + CAANESH + CAANSPS + CAASIP,15,0
CAANAM + CAATVP,15,0
CAANSPS + CAAPSD,15,0
CAANSPS + CAAPSD + CAATVP,15,0
CAAAR,14,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,14,0
CAAFESOP + CAAFIP + CAASIP,14,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAATVP,14,0
CAAGACTM + CAAPSD + CAASIP + CAATVP,14,0
CAAAR + CAAGACTM + CAANSPS + CAANSR + CAASIP + CAATVP,13,0
CAAMACT + CAANAM + CAATVP,13,0
CAAMACT + CAANFRP + CAANSPS + CAANSR + CAASIP,13,0
CAANESH + CAANSPS + CAATVP,13,0
CAAPSD + CAATVP,13,0
CAAAR + CAASIP + CAATVP,12,0
CAACFC + CAAGACTM + CAANSPS + CAANSR + CAAOTH + CAASIP + CAATVP,12,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,12,0
CAACFC + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,12,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,12,0
CAAGHG + CAAMACT + CAASIP + CAATVP,12,0
CAAMACT + CAANESH + CAANSPS + CAAPSD + CAATVP,12,0
CAAMACT + CAANSPS + CAANSR,12,0
CAAAR + CAACFC + CAANSPS + CAAPARGDC + CAASIP + CAATVP,11,0
CAAAR + CAAGACTM + CAANSPS + CAASIP + CAATVP,11,0
CAAAR + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,11,0
CAACFC + CAAGACTM + CAANSPS + CAASIP + CAATVP,11,0
CAACFC + CAAPARGDC + CAASIP + CAATVP,11,0
CAAFENF + CAAFESOP + CAASIP,11,0
CAAFESOP + CAAMACT + CAASIP + CAATVP,11,0
CAAGACTM + CAANSPSM + CAANSR + CAASIP,11,0
CAAGHG + CAANSPS + CAASIP + CAATVP,11,0
CAAMACT + CAANSPS + CAANSPSM + CAAPSD + CAASIP + CAATVP,11,0
CAAMACT + CAANSPS + CAANSPSM + CAASIP,11,0
CAANSPS + CAAOTH,11,0
CAACFC + CAAGACTM + CAANESH + CAANSPS + CAASIP + CAATVP,10,0
CAACFC + CAAGACTM + CAASIP,10,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAAPARGDC + CAASIP + CAATVP,10,0
CAACFC + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,10,0
CAAFESOP + CAANSPS + CAAOTH + CAASIP,10,0
CAAFESOP + CAANSR + CAAPSD + CAASIP,10,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,10,0
CAAGACTM + CAANESH + CAASIP,10,0
CAAGACTM + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,10,0
CAAMACT + CAANESH,10,0
CAAMACT + CAANESH + CAANSPS + CAAOTH + CAASIP + CAATVP,10,0
CAAMACT + CAANSPSM + CAANSR + CAASIP,10,0
CAANFRP + CAANSPS + CAASIP,10,0
CAANSPS + CAARMP + CAASIP,10,0
CAACFC + CAAFESOP + CAANSPS + CAASIP,9,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,9,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,9,0
CAAFESOP + CAASIP + CAATVP,9,0
CAAGACTM + CAAMACT + CAANESH + CAATVP,9,0
CAAGACTM + CAAMACT + CAANSPS + CAANSPSM + CAASIP + CAATVP,9,0
CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAASIP,9,0
CAAMACT + CAANESH + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,9,0
CAANAM + CAAPSD,9,0
CAANSPS + CAANSPSM + CAAOTH,9,0
CAANSPS + CAANSR + CAATVP,9,0
CAAAR + CAACFC + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,8,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,8,0
CAAAR + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,8,0
CAAAR + CAANSR + CAASIP,8,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAAPARGDC + CAASIP + CAATVP,8,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,8,0
CAACFC + CAAMACT + CAASIP + CAATVP,8,0
CAAFENF + CAASIP,8,0
CAAFESOP + CAAGACTM + CAANSPS + CAASIP + CAATVP,8,0
CAAFESOP + CAAMACT + CAANSPS + CAASIP + CAATVP,8,0
CAAFIP + CAAMACT + CAASIP + CAATVP,8,0
CAAGACTM + CAAMACT + CAANSPS + CAATVP,8,0
CAAGACTM + CAAMACT + CAAOTH + CAASIP,8,0
CAAMACT + CAANAM + CAANSPS + CAATVP,8,0
CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,8,0
CAAAR + CAACFC + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,7,0
CAAAR + CAACFC + CAAMACT + CAANSPS + CAAPARGDC + CAASIP + CAATVP,7,0
CAACFC + CAAMACT + CAANSR + CAAPARGDC + CAASIP + CAATVP,7,0
CAACFC + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,7,0
CAACFC + CAANSR + CAASIP,7,0
CAAFENF + CAAGACTM + CAANSPS + CAASIP + CAATVP,7,0
CAAFENF + CAAMACT + CAANSPS + CAASIP,7,0
CAAFENF + CAAMACT + CAASIP + CAATVP,7,0
CAAFESOP + CAAMACT + CAANSPSM + CAASIP,7,0
CAAFESOP + CAAMACT + CAANSR + CAAPSD + CAASIP,7,0
CAAFESOP + CAAMACT + CAANSR + CAASIP + CAATVP,7,0
CAAFESOP + CAANESH + CAANSPS + CAASIP,7,0
CAAFESOP + CAANSPS + CAASIP + CAATVP,7,0
CAAFESOP + CAANSR + CAAOTH + CAASIP,7,0
CAAFESOP + CAAPSD + CAASIP,7,0
CAAFIP + CAAMACT + CAANSPS + CAASIP + CAATVP,7,0
CAAGACTM + CAAMACT + CAANSPSM + CAASIP,7,0
CAAGACTM + CAANESH + CAANSPS + CAAPSD + CAATVP,7,0
CAAGACTM + CAANSR + CAASIP,7,0
CAAGHG + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,7,0
CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,7,0
CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP,7,0
CAAMACT + CAANESH + CAANSPS + CAASFP + CAASIP + CAATVP,7,0
CAAMACT + CAANESH + CAANSR + CAASIP + CAATVP,7,0
CAAMACT + CAANESH + CAAPSD + CAASIP + CAATVP,7,0
CAANAM + CAANSPS + CAASIP + CAATVP,7,0
CAANFRP + CAANSPS + CAANSR + CAAOTH + CAASIP,7,0
CAANFRP + CAANSPSM + CAAOTH,7,0
CAAAR + CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,6,0
CAAAR + CAAGACTM + CAAMACT + CAANSR + CAASIP + CAATVP,6,0
CAAAR + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,6,0
CAAAR + CAAMACT + CAANSPS + CAANSPSM + CAASIP + CAATVP,6,0
CAACFC + CAAFESOP,6,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASIP + CAATVP,6,0
CAACFC + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,6,0
CAACFC + CAAMACT + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,6,0
CAAFESOP + CAAFIP,6,0
CAAFESOP + CAAGACTM + CAANESH + CAANSPS + CAASIP,6,0
CAAFESOP + CAAGACTM + CAANSPS,6,0
CAAFESOP + CAAMS + CAANSPS + CAASIP,6,0
CAAFESOP + CAANSPS + CAANSR + CAAPSD + CAASIP,6,0
CAAFESOP + CAANSPSM,6,0
CAAFESOP + CAATVP,6,0
CAAFIP + CAANAM,6,0
CAAFIP + CAASIP + CAATVP,6,0
CAAGACTM + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,6,0
CAAGACTM + CAANESH + CAANSPS + CAATVP,6,0
CAAGACTM + CAANSPS + CAAOTH + CAASIP,6,0
CAAGACTM + CAANSPS + CAAOTH + CAASIP + CAATVP,6,0
CAAMACT + CAANSPS + CAAPSD + CAARMP + CAASIP + CAATVP,6,0
