POLLUTANT_CODE,POLLUTANT_DESC,n,pct
300000451,"Iron, ferrous",16,0
300000462,Acetylene,16,0
300000560,Cumene hydroperoxide,16,0
300000348,Formic acid,15,0
300000353,1-Methylnaphthalene,15,0
300000404,CFC-12,15,0
300000439,5-Methyl-2-hexanone,15,0
300000440,Hydrogen peroxide,15,0
300000191,N-Nitrosodimethylamine,14,0
300000197,Lindane,14,0
300000254,Styrene Oxide,14,0
300000316,PARAFFINS (ALKANES),14,0
300000438,Dimethyl sulfide,14,0
300000677,Ethane,14,0
300000127,"2,4,5-Trichlorophenol",13,0
300000136,"3,3'-dichlorobenzidine",13,0
300000634,Ammonium sulfate,13,0
300000343,Hydrobromic acid,12,0
300000382,Tetrahydrofuran,12,0
300000383,Di-n-octyl phthalate,12,0
300000428,2-Methoxyethanol,12,0
300000485,Fluorine,12,0
300000579,Acetic anhydride,12,0
300000582,Methylcyclohexane,12,0
200000841,Nonmethane organic gases [NMOG],11,0
300000100,B3 PHENYLENEDIAMINE,11,0
300000220,COKE OVEN EMISSION,11,0
300000246,"Sulfuric acid, diethyl ester",11,0
300000248,2-Methylpropane (Isobutane),11,0
300000253,4-Nitrodiphenyl,11,0
300000258,Methyl Chloromethyl Ether,11,0
300000260,Catechol,11,0
300000390,Dicyclopentadiene,11,0
300000410,Ethylene glycol monopropyl ether,11,0
300000446,Isoprene,11,0
300000452,Ammonium nitrate,11,0
300000456,"2,4-Dimethylphenol",11,0
300000469,Chromic[VI] acid,11,0
300000487,"trans-1,2-Dichloroethylene",11,0
300000499,"Toluene-2,6-diisocyanate",11,0
300000512,Diethylene glycol monobutyl ether,11,0
300000645,Polyethylene,11,0
300000654,Talc,11,0
320002704,Total Organic Hazardous Air Pollutants,11,0
300000046,Hydrogen,10,0
300000229,Radionuclides (including radon),10,0
300000271,Vinyl Bromide,10,0
300000433,Isopropyl acetate,10,0
300000460,4-Aminobiphenyl,10,0
300000581,Diisobutyl ketone,10,0
300000200,"1,1-Dimethylhydrazine",9,0
300000205,Urethane,9,0
300000249,2-Methylaziridine (propyleneimine),9,0
300000396,"1,2-Dichloroethylene",9,0
300000400,Dimethylamine,9,0
300000473,CFC-11,9,0
300000481,Tetrachloroethane,9,0
300000679,Butane,9,0
2510,Methyl chloroform,8,0
4167,TOTAL ORGANIC COMPOUNDS,8,0
300000133,"2,4-D",8,0
300000144,Pentachloronitrobenzene,8,0
300000148,Chloroacetic acid,8,0
300000252,o-Anisidine,8,0
300000255,Benzotrichloride,8,0
300000293,ALUMINUM COMPOUNDS,8,0
300000358,Propylene glycol 1-methyl ether,8,0
300000398,2-Furanmethanol,8,0
300000463,Toluenediamine,8,0
300000471,Carbon,8,0
300000498,n-Decane,8,0
300000532,Chloride,8,0
10343,Bis[chloromethyl] ether [Air],7,0
300000157,Heptachlor,7,0
300000308,KETONES,7,0
300000337,Dibenzo-p-dioxin,7,0
300000408,Magnesium oxide,7,0
300000409,Sodium sulfate,7,0
300000418,Calcium oxide,7,0
300000424,Diethylenetriamine,7,0
300000605,tert-Butyl acetate,7,0
300000608,Zinc stearate,7,0
300000609,Methyl isopropyl ketone,7,0
300000058,"4,6-Dinitro-o-cresol",6,0
300000067,Calcium cyanamide,6,0
300000087,"3,3'-dimethoxybenzidine",6,0
300000196,N-Nitrosomorpholine,6,0
300000198,Chlordane,6,0
300000334,Trimethylamine,6,0
300000360,Dimethyl ether,6,0
300000394,Propionic acid,6,0
300000403,Propane,6,0
300000411,HCFC-21,6,0
300000448,Morpholine,6,0
300000454,Benzoyl peroxide,6,0
300000466,Diethyl phthalate,6,0
300000467,Furfural,6,0
300000559,Nitroethane,6,0
300000565,Benzoyl chloride,6,0
300000647,Polyethylene glycol nonylphenyl ether,6,0
300000649,Mica group minerals,6,0
320004361,n-Propyl Bromide,6,0
