POLLUTANT_CODE,POLLUTANT_DESC,n_facilities
300000288,PERFLUOROCARBONS,2
300000297,BERYLLIUM COMPOUNDS (E649947),2
300000341,"2-Propanamine, N,N-dimethyl-",2
300000357,Methyl acrylate,2
300000365,N-Methyl-2-pyrrolidone,2
300000372,Nitrogen,2
300000443,Diethylaminoethanol,2
300000450,Chlorothalonil,2
300000482,Boron,2
300000484,Picric acid,2
300000490,Zinc oxide,2
300000491,Barium sulfate,2
300000493,Wood creosote,2
300000496,Trichlorobenzene,2
300000517,Di[2-ethylhexyl] adipate,2
300000519,Methyl formate,2
300000523,Urea,2
300000529,Oxalic acid,2
300000530,Hydrotreated heavy naphthenic distillates (petroleum),2
300000541,"1,2,3-Trichloropropane",2
300000550,Propyne,2
300000553,tert-Butylamine,2
300000563,Butyl methacrylate,2
300000564,p-tert-Butyltoluene,2
300000570,2-(Dibutylamino)ethanol,2
300000585,Dimethoxymethane,2
300000591,Adiponitrile,2
300000592,Diethylene glycol monomethyl ether,2
300000594,Ethylene glycol monohexyl ether,2
300000597,C.I. Pigment Blue 15,2
300000598,Anthanthrene,2
300000611,Undecane,2
300000612,Boric oxide,2
300000627,Boron trifluoride,2
300000636,Nickel sulfate,2
300000640,Castor oil,2
300000641,"Turpentine, oil",2
300000642,Paraffin oils,2
300000650,Ammonium chloride,2
300000652,Zinc chromate,2
300000655,Diborane,2
300000657,Chromic acid cyclohexylamine salt,2
300000673,Oxygen,2
320002701,Halogens and Hydrogen Halides,2
320002703,Total Volatile Hydrocarbons,2
603,Benzene,1
726,Bromomethane,1
955,HCFC [hydrochlorofluorocarbons],1
1631,ETHYLBENZENE,1
1654,ETHYLENE GLYCOL 95 & 96 [MEDIA OFF-SITE],1
1888,FURFURYL ALCOHOL,1
2049,Hexane,1
2423,Manganese,1
2701,n-Hexane,1
3792,SODIUM HYDOXIDE,1
4311,Trichlorofluoromethane,1
4700,"XYLEEN [93, 94, 95, 96 & 97]",1
4928,BIS[2-ETHYLHEXYL]PHTHALATE,1
6092,STRENE,1
7827,Phenanthrene,1
8280,PCP,1
10115,o-Toluidine,1
10345,Chloroform,1
10725,Ethylene thiourea,1
11673,Tribromomethane,1
300000040,Crotonaldehyde,1
300000050,Dimethylphenol,1
300000053,Hexamethylphosphoramide,1
300000059,Chlorobenzilate,1
300000061,"HFC-227ea (1,1,1,2,3,3,3-heptafluoropropane)",1
300000192,Dichlorvos,1
300000199,Propylene glycol,1
300000244,beta-Propiolactone,1
300000286,5-ETHYLIDENE-2-NORBORNENE,1
300000299,CHLOROPHENOLS,1
300000300,COKE OVEN COMPOUNDS (E649830),1
300000313,OLEFINS,1
300000361,Diphenylamine,1
300000413,Helium,1
300000442,Paraffin wax,1
300000445,Tri-n-butyl phosphate,1
300000449,Triphenyl phosphate,1
300000453,Zirconium,1
300000455,"N,N-Dimethyl acetamide, whole water",1
300000457,Ethyl methacrylate,1
300000459,Butylamine,1
300000464,Pentaerythritol,1
300000483,Aluminum chloride,1
300000486,"2,3-Dichloropropene",1
300000488,"2,3,4,6-Tetrachlorophenol",1
300000501,Ethylenediamine,1
300000504,Pentanoic acid,1
300000505,Phenyl glycidyl ether,1
300000514,Potassium cyanide,1
300000516,Freshwater in drilling fluids,1
300000520,Methacrylonitrile,1
300000524,CFC-115,1
300000526,2-Chloroethanol,1
300000527,Iodine,1
300000528,"2,4-Dichlorophenol",1
300000531,Methyl disulfide,1
300000533,Indium,1
300000534,Aroclor 1242,1
300000535,"cis-1,3-Dichloropropene",1
300000536,"trans-1,4-Dichloro-2-butene",1
300000537,Chlorodibromomethane,1
300000538,"cis-1,2-Dichloroethylene",1
300000539,2-Hexanone,1
300000540,Halon 1011,1
300000542,Ethyl mercaptan,1
300000545,Nitroglycerin,1
300000546,Safrole,1
300000547,Thimerosal,1
300000548,Benzamide,1
300000554,CFC-114,1
300000555,Tri-o-cresyl phosphate,1
300000556,Isobutyronitrile,1
300000557,2-Chloro-1-propanol,1
300000562,Isobutyl isobutyrate,1
300000569,"4,4' - diaminodiphenyl ether",1
300000571,2-Ethylhexyl acrylate,1
300000572,sec-Butyl acetate,1
300000574,1-Propanethiol,1
300000576,Chloroacetaldehyde,1
300000578,Diisopropylamine,1
300000583,Cyclohexanol,1
300000584,Butanenitrile,1
300000586,Ethyl formate,1
300000587,2-Heptanone,1
300000588,"Ethylene glycol monomethyl ether acEthanol, 2-methoxy-, 1-acetate",1
300000590,"Ethylene glycol monoethyl ether acetEthanol, 2-ethoxy-, 1-acetate",1
300000596,Isoamyl acetate,1
300000599,"1,4-Diazabicyclo[2.2.2]octane",1
300000601,Diethyl sulfide,1
300000602,Ketene,1
300000604,Mustard gas,1
300000606,Cyclopentadiene,1
300000607,Lithium acetate,1
300000613,Cadmium oxide,1
300000620,Allyl propyl disulfide,1
300000622,"C.I. Acid Blue 9, diammonium salt",1
300000624,"1-(3-Chloroallyl)-3,5,7-Triaza-1-azoniaadamantane chloride",1
300000628,Phosphorus trichloride,1
300000629,Zinc sulfate,1
300000632,Lithium amide,1
