ACTIVITY_ID,n
3400303058,2
3400303060,2
3400303064,2
3400303065,2
3400303067,2
3400303069,2
3400303071,2
3400303073,2
3400303074,2
3400303083,2
3400303087,2
3400303089,2
3400303091,2
3400303099,2
3400303101,2
3400303102,2
3400303104,2
3400303106,2
3400303107,2
3400303109,2
3400303111,2
3400303112,2
3400303114,2
3400303116,2
3400303118,2
3400303119,2
3400303121,2
3400303123,2
3400303124,2
3400303128,2
3400303130,2
3400303132,2
3400303137,2
3400303139,2
3400303140,2
3400303142,2
3400303144,2
3400303147,2
3400303149,2
3400303151,2
3400303159,2
3400303161,2
3400303163,2
3400303165,2
3400303166,2
3400303172,2
3400303174,2
3400303176,2
3400303178,2
3400303180,2
3400303182,2
3400303183,2
3400303185,2
3400303187,2
3400303189,2
3400303206,2
3400303208,2
3400303210,2
3400303217,2
3400303219,2
3400303225,2
3400303226,2
3400303248,2
3400303250,2
3400303253,2
3400303255,2
3400303257,2
3400303259,2
3400303261,2
3400303263,2
3400303265,2
3400303267,2
3400303268,2
3400303270,2
3400303272,2
3400303273,2
3400303275,2
3400303277,2
3400303278,2
3400303309,2
3400303312,2
3400303333,2
3400303339,2
3400303341,2
3400303343,2
3400303348,2
3400303353,2
3400303363,2
3400303365,2
3400303367,2
3400303368,2
3400303370,2
3400303373,2
3400303385,2
3400303386,2
3400303388,2
3400303390,2
3400303430,2
3400303431,2
3400303433,2
3400303439,2
3400303445,2
3400303447,2
3400303449,2
3400303451,2
3400303457,2
3400303459,2
3400303460,2
3400303462,2
3400303464,2
3400303466,2
3400303468,2
3400303469,2
3400303471,2
3400303475,2
3400303476,2
3400303478,2
3400303489,2
3400303491,2
3400303493,2
3400303495,2
3400303497,2
3400303518,2
3400303520,2
3400303521,2
3400303523,2
3400303535,2
3400303536,2
3400303538,2
3400303540,2
3400303542,2
3400303578,2
3400303580,2
3400303582,2
3400303583,2
3400303585,2
3400303611,2
3400303613,2
3400303614,2
3400303616,2
3400303618,2
3400303619,2
3400303621,2
3400303623,2
3400303625,2
3400303641,2
3400303648,2
3400303650,2
3400303661,2
3400303663,2
3400303665,2
3400303678,2
3400303680,2
3400303682,2
3400303715,2
3400303717,2
3400303719,2
3400303722,2
3400303724,2
3400303725,2
3400303968,2
3400303970,2
3400303972,2
3400303974,2
3400303976,2
3400303977,2
3400304011,2
3400304013,2
3400304015,2
3400304017,2
3400304019,2
3400304021,2
3400304023,2
3400304025,2
3400304026,2
3400304028,2
3400304030,2
3400304032,2
3400304033,2
3400304035,2
3400304037,2
3400304039,2
3400304040,2
3400304042,2
3400304044,2
3400304046,2
3400304047,2
3400304049,2
3400304051,2
3400304053,2
3400304054,2
3400304056,2
3400304061,2
3400304067,2
3400304069,2
3400304071,2
3400304073,2
3400304076,2
3400304086,2
3400304088,2
3400304090,2
3400304093,2
3400304095,2
3400304097,2
3400304099,2
3400304101,2
3400304103,2
3400304111,2
3400304113,2
3400304115,2
3400304117,2
3400304119,2
3400304120,2
3400304122,2
3400304124,2
3400304126,2
3400304129,2
3400304131,2
3400304133,2
3400304138,2
3400304140,2
3400304142,2
3400304144,2
3400304145,2
3400304156,2
3400304165,2
3400304167,2
3400304168,2
3400304170,2
3400304172,2
3400304174,2
3400304176,2
3400304177,2
3400304179,2
3400304180,2
3400304182,2
3400304184,2
3400304186,2
3400304187,2
3400304195,2
3400304196,2
3400304198,2
3400304200,2
3400304202,2
3400304204,2
3400304206,2
3400304208,2
3400304209,2
3400304215,2
3400304217,2
3400304224,2
3400304226,2
3400304228,2
3400304230,2
3400304236,2
3400304247,2
3400304249,2
3400304251,2
3400304253,2
3400304260,2
3400304262,2
3400304265,2
3400304267,2
3400304269,2
3400304273,2
3400304277,2
3400304278,2
3400304283,2
3400304285,2
3400304287,2
3400304288,2
3400304290,2
3400304292,2
