PGM_SYS_ID,POLLUTANT_CODE,n
0500000027053R0023,300000240,2
0500000027087R0001,300000242,2
0500000027087R0001,300000243,2
0500000027109R0001,300000240,2
0500000027123R0009,300000242,2
0500000027123R0011,300000291,2
0500000027123R0013,300000240,2
0500000027123R0014,300000240,2
0500000027139R0001,10193,2
0500000027139R0001,300000282,2
0500000027139R0001,300000305,2
0500000027139R0001,300000322,2
0500000027139R0005,300000242,2
0500000027163R0003,300000240,2
0500000039017R0001,300000291,2
0500000039017R0002,300000240,2
0500000039025R0001,300000291,2
0500000039025R0002,300000291,2
0500000039035R0046,300000291,2
0500000039035R0047,300000291,2
0500000039035R0048,300000291,2
0500000039035R0049,300000291,2
0500000039035R0051,300000291,2
0500000039035R0052,300000291,2
0500000039035R0053,300000291,2
0500000039035R0054,300000291,2
0500000039035R0061,300000240,2
0500000039049R0020,300000240,2
0500000039049R0021,300000240,2
0500000039061R0008,300000291,2
0500000039061R0009,300000291,2
0500000039061R0010,300000291,2
0500000039061R0011,300000291,2
0500000039067R0001,300000180,2
0500000039093R0004,300000291,2
0500000039093R0005,300000291,2
0500000039095R0004,300000291,2
0500000039099R0004,300000291,2
0500000039113R0004,300000240,2
0500000039151R0005,300000291,2
0500000039153R0003,300000291,2
0500000039153R0004,300000291,2
0500000039155R0002,300000291,2
0500000039165R0002,300000291,2
0500000039169R0002,300000242,2
0500000055025R0003,300000240,2
0500000055061R0001,300000322,2
0500000055079R0006,300000240,2
0500000055079R0018,300000240,2
0500000055079R0019,300000240,2
0500000055079R0029,300000240,2
0500000055079R0033,300000291,2
0500000055079R0034,300000291,2
0500000055079R0035,300000291,2
0500000055079R0036,300000291,2
0500000055079R0040,300000240,2
0500000055101R0008,300000291,2
0500000055133R0012,300000240,2
0500027049R0002,300000329,2
0500027061R0001,300000329,2
0500027095R0001,300000329,2
0500027137R0001,300000329,2
0500027139R0006,300000243,2
0500055085R0001,300000243,2
0500055085R0002,300000243,2
06000000050516E001,300000240,2
06000000050556E001,300000210,2
06000000050616E001,300000210,2
06000000050916E001,300000210,2
06000000051196E016,300000240,2
06000000051196E017,300000240,2
06000000051436E001,300000210,2
06000000220156E001,300000210,2
06000000220156E005,300000074,2
06000000220176E001,300000210,2
06000000220176E013,300000240,2
06000000220196E010,300000240,2
06000000220196E011,300000240,2
06000000220196E016,300000240,2
06000000220196E017,300000240,2
06000000220196E026,300000240,2
06000000220316E002,300000305,2
06000000220316E003,300000305,2
06000000220316E004,300000305,2
06000000220316E006,300000305,2
06000000220316E007,300000305,2
06000000220316E008,300000305,2
06000000220316E012,300000180,2
06000000220316E012,300000305,2
06000000220336E001,300000074,2
06000000220336E009,300000074,2
06000000220336E029,300000240,2
06000000220336E030,300000240,2
06000000220336E031,300000240,2
06000000220336E034,300000240,2
06000000220336E037,300000240,2
06000000220336E040,300000240,2
06000000220336E042,300000240,2
06000000220516E034,300000240,2
06000000220516E037,300000240,2
06000000220516E039,300000240,2
06000000220516E040,300000329,2
06000000220716E028,300000240,2
06000000220716E029,300000240,2
06000000220716E030,300000240,2
06000000220716E031,300000240,2
06000000220756E001,300000074,2
06000000220816E001,300000305,2
06000000221016E002,300000243,2
06000000221016E002,300000322,2
06000000221036E001,300000240,2
06000000221036E002,300000240,2
06000000350016E001,300000240,2
06000000350016E002,300000240,2
06000000350016E003,300000240,2
06000000350016E004,300000240,2
06000000350016E005,300000240,2
06000000350016E006,300000240,2
06000000350016E007,300000240,2
06000000350016E008,300000240,2
06000000350016E009,300000240,2
06000000350016E010,300000240,2
06000000350016E011,300000240,2
06000000350016E012,300000240,2
06000000350016E013,300000240,2
06000000350016E014,300000240,2
06000000350016E015,300000240,2
06000000350016E016,300000240,2
06000000350016E017,300000240,2
06000000350016E018,300000240,2
06000000350016E019,300000240,2
06000000350016E020,300000240,2
06000000350016E021,300000240,2
06000000350016E022,300000240,2
06000000350016E023,300000240,2
06000000350016E024,300000240,2
06000000350016E025,300000240,2
06000000350016E026,300000240,2
06000000350016E027,300000240,2
06000000350016E028,300000240,2
06000000350016E029,300000240,2
06000000350016E030,300000240,2
06000000350016E031,300000240,2
06000000350016E032,300000240,2
06000000350016E033,300000240,2
06000000350016E036,300000240,2
06000000350016E037,300000074,2
06000000350016E038,300000074,2
06000000350016E039,300000074,2
06000000350016E040,300000074,2
06000000350016E042,300000240,2
06000000350016E043,300000240,2
06000000350016E044,300000240,2
06000000350016E045,300000240,2
06000000350016E046,300000240,2
06000000350016E047,300000240,2
06000000350016E048,300000240,2
06000000350016E050,300000240,2
06000000350016E051,300000240,2
06000000350016E052,300000240,2
06000000350016E053,300000240,2
06000000350016E054,300000240,2
06000000350016E055,300000240,2
06000000350016E056,300000240,2
06000000350016E057,300000240,2
06000000350016E058,300000240,2
06000000350016E059,300000240,2
06000000350056E001,300000047,2
060000003500600006,10193,2
060000003500600006,300000005,2
060000003500600006,300000207,2
060000003500600008,10193,2
060000003500600008,300000005,2
06000000350156E001,300000240,2
060000003503900025,300000329,2
060000003503900025,300000330,2
06000000350436E001,300000322,2
06000000350436E002,300000240,2
06000000350496E001,300000240,2
06000000350496E002,300000240,2
06000000350496E003,300000240,2
06000000350496E004,300000240,2
06000000350496E005,300000240,2
06000000350496E006,300000240,2
06000000350496E007,300000240,2
06000000350496E008,300000240,2
06000000350496E009,300000240,2
06000000350496E010,300000240,2
06000000350496E011,300000240,2
06000000350496E012,300000240,2
06000000350496E013,300000240,2
06000000350496E014,300000240,2
06000000400376R001,300000329,2
06000000401096R054,300000240,2
06000000401096R056,300000240,2
06000000401096R057,300000240,2
06000000401096R058,300000240,2
06000000401096R059,300000240,2
06000000401096R060,300000240,2
06000000401096R061,300000240,2
06000000401096R062,300000240,2
06000000401096R063,300000240,2
06000000401096R064,300000240,2
06000000401096R065,300000240,2
06000000401096R066,300000240,2
06000000401096R067,300000240,2
06000000401136E003,300000329,2
06000000401136E004,300000329,2
06000000401136E005,300000329,2
06000000401136E006,300000329,2
06000000401136E007,300000329,2
06000000401136E008,300000329,2
06000000401136E009,300000329,2
06000000401136E010,300000329,2
06000000401136E011,300000329,2
06000000401136E012,300000329,2
06000000401136E013,300000329,2
06000000401136E014,300000329,2
06000000401136E015,300000329,2
06000000401436R005,300000240,2
06000000401436R011,300000240,2
06000000401436R012,300000240,2
06000000401436R013,300000240,2
06000000401436R014,300000240,2
06000000480036E001,300000243,2
06000000480036E002,300000243,2
06000000480056E001,300000210,2
06000000480136E001,300000329,2
06000000480136E002,300000329,2
06000000480256E001,300000243,2
06000000480276E001,300000074,2
06000000480276E002,300000074,2
06000000480276E003,300000074,2
06000000480276E004,300000074,2
06000000480276E005,300000074,2
06000000480276E006,300000074,2
06000000480276E007,300000074,2
06000000480276E008,300000074,2
06000000480276E009,300000074,2
06000000480276E010,300000074,2
06000000480276E011,300000074,2
06000000480276E012,300000074,2
06000000480276E013,300000074,2
06000000480276E014,300000074,2
