ACTIVITY_ID,n
3400158499,2
3400164771,4
3400164774,2
3400165898,2
3400171246,2
3400171253,2
3400171259,2
3400171746,2
3400189529,2
3400253184,2
3400258840,4
3400279927,47
3400283263,2
3400290782,2
3400296274,4
3400298098,2
3400346026,2
3400347978,2
3400490376,2
3400512992,2
3400520885,2
3400526042,2
3400541139,2
3400563535,2
3400574386,2
3400612229,2
3400627833,2
3400690951,2
3400704743,2
3400712052,2
3400725103,3
3400726234,2
3400731480,2
3400734684,2
3400740594,2
3600032922,2
3600033702,11
3600048955,11
3600049462,2
3600066088,2
3600066094,2
3600066157,2
3600066218,2
3600066221,2
3600080812,2
3600088874,2
3600106481,2
3600108706,2
3600109162,2
3600112526,2
3600121240,2
3600121276,2
3600123473,2
3600126668,2
3600139186,28
3600149734,2
3600173940,2
3600178188,2
3600178388,2
3600187507,2
3600187559,2
3600222417,2
3600222450,2
3600242739,87
3600244627,2
3600354407,3
3600354443,2
3600354467,3
3600354569,12
3600354631,8
3600354657,2
3600354663,6
3600354674,2
3600354708,2
3600354713,2
3600354721,4
3600354784,2
3600354804,2
3600354828,3
3600354831,6
3600354856,4
3600354863,2
3600354874,2
3600354879,234
3600354891,2
3600354897,2
3600354918,2
3600354921,3
3600354956,3
3600354970,2
3600355100,2
3600355128,2
3600355166,4
3600355190,6
3600355196,2
3600355207,4
3600355210,4
3600355223,2
3600355261,2
3600355395,2
3600355461,2
3600355501,2
3600355517,6
3600355519,2
3600355611,2
3600355622,2
3600355694,3
3600355708,3
3600355748,2
3600355763,2
3600355831,2
3600355848,2
3600355916,2
3600355923,4
3600355924,6
3600355943,4
3600355951,4
3600356025,6
3600356087,2
3600356109,3
3600356121,2
3600356248,2
3600356261,4
3600356311,2
3600356361,4
3600356372,6
3600356494,4
3600356533,2
3600356544,6
3600363877,2
3600364530,23
3600365981,3
3600388847,2
3600388877,2
3600388901,2
3600396362,7
3600435249,2
3600448887,2
3600456067,8
3600470892,2
3600471092,11
3600476607,2
3600478224,2
3600480366,2
3600480716,2
3600536808,2
3600536914,2
3600673657,2
3600676194,2
3600684666,2
3600694617,2
3600696052,6
