ACTIVITY_ID,n
3601514020,3
3601520303,2
3601520310,2
3601520314,2
3601524091,2
3601529017,2
3601529023,2
3601529039,2
3601529145,2
3601529581,2
3601529654,2
3601529659,2
3601530532,2
3601530600,2
3601530677,2
3601530681,2
3601530693,2
3601535288,3
3601541754,3
3601557419,3
3601557424,3
3601557692,2
3601557695,3
3601561081,2
3601561228,2
3601561289,2
3601562210,3
3601565261,3
3601566136,4
3601599430,2
3601599435,4
3601599446,4
3601599448,3
3601599933,2
3601605426,2
3601605550,2
3601605560,2
3601605574,2
3601605582,2
3601605584,2
3601606683,2
3601606820,2
3601607175,2
3601607248,2
3601607262,2
3601608193,2
3601608296,2
3601608305,2
3601608315,2
3601608318,2
3601608354,2
3601608861,2
3601620333,2
3601627011,2
3601680274,2
3601684792,2
3601696743,2
3601710058,3
3601733947,2
3601736298,2
3601741527,2
3601741533,2
3601742294,3
3601742295,3
3601743258,2
3601743259,2
3601743489,2
3601743512,2
3601743515,2
3601743516,2
3601743567,2
3601743948,2
3601750564,2
3601758695,2
3601758706,2
3601759759,2
3601768407,4
3601771528,2
3601786163,3
3601786729,3
3601786765,2
3601786767,2
3601786771,2
3601786984,2
3601786985,2
3601786986,2
3601788145,2
3601789695,2
3601789727,2
3601789728,2
3601789729,2
3601789730,2
3601789734,2
3601790184,2
3601797314,3
3601807450,2
3601807464,2
3601807488,2
3601807498,2
3601807501,2
3601807509,2
3601807803,2
3601807809,2
3601807813,2
3601807826,2
3601807832,2
3601807838,2
3601807843,2
3601807846,2
3601807848,2
3601807852,2
3601807854,2
3601807856,2
3601833203,3
3601877644,2
3601879945,2
3601884395,2
3601884410,2
3601899260,2
3601906977,2
3601922363,2
3601922382,2
3601922854,2
3601922861,2
3601942871,2
3601970273,2
3601970274,2
3601970275,2
3601971405,2
3601973674,2
3601983173,2
3601992442,2
3601992452,2
3601992458,2
3602008135,2
3602040021,2
3602051465,2
3602057671,2
3602058153,2
3602058211,2
3602122516,2
3602128831,2
3602200513,2
3602200545,2
3602200559,2
3602200573,2
3602294353,3
3602295153,2
3602296450,2
3602335710,2
3602370972,2
3602381188,2
3602385928,2
3602392563,2
3602439668,2
3602474503,2
3602481976,2
3602481984,2
3602481989,2
3602481990,2
3602708595,2
3602708606,2
3602708611,2
3602711386,2
3602711403,2
3602711430,2
3602711443,2
3602757287,2
3602765404,2
3602765629,2
3602768133,2
3602821698,2
3602823948,2
3602824072,2
3602835042,2
3602837825,2
